id;id_provincia;nombre
86147011;22;ISLA DE LOS SOTELOS
86147010;22;ISLA DE ARAGONES
86147009;22;GRAMILLA VIEJA
86147004;22;COLONIA TINCO
86147003;22;CHAUCHILLAS
86147002;22;BARRIALITO
86147001;22;AMICHA
86140051;22;GAUCHO DE GUEMES
86140048;22;EL MISTOL
86140044;22;VILLA QUEBRACHOS
86140043;22;FUERTE VIEJO
86140041;22;POZO DEL MONTE
86140040;22;POZO DEL CHAÑAR
86140039;22;PAZO DE LOS OSCARES
86140036;22;LA TRAMPA
86140035;22;LA GRANADA
86140034;22;LA CHICHARRA
86140033;22;LA BLANQUITA
86140028;22;EL ESPARTAL
86140026;22;EL AYUDANTE
86140023;22;CORRAL DEL REY
86140022;22;CAMPO DEL CISNE
86140020;22;BELLA CRIOLLA
86140019;22;14 DE MAYO
86140017;22;SUMAMPA VIEJO
86140016;22;SUMAMPA
86140012;22;RIO VIEJO
86140011;22;RAMIREZ DE VELAZCO
86140010;22;RAMA PASO
86140009;22;PUERTA DEL MONTE
86140007;22;HORCOS TUCUCUNA
86140002;22;CORONEL FERNANDEZ
86140001;22;BELGRANO
86133079;22;TACO BAJADA
86133078;22;EL AZUL
86133076;22;EL GUAPO
86133075;22;CHAÑAR BAJADA
86133073;22;LA FORTUNA
86133072;22;PAMPA SUNI
86133066;22;AGUA AMARGA
86133062;22;LA REACCION
86133059;22;LA  FRAGUA
86133058;22;QUEBRACHO COTO
86133052;22;TORO HUMAN
86133051;22;AGUA AZUL
86133048;22;TACO PUNCO
86133047;22;SAN SERAFIN
86133044;22;PAMPA POZO
86133043;22;LOS CERCOS
86133040;22;SANTA MARIA DE LAS CHACRAS
86133039;22;PUESTO DEL ANGEL
86133038;22;LA MANGA
86133037;22;EL SOCORRO
86133036;22;EL ROSADO
86133035;22;SANTA FELISA
86133033;22;VILLA ESTELA
86133032;22;EL DIABLO
86133031;22;TACO  POZO
86133028;22;TUSCA BAJADA
86133022;22;RAPELLI
86133021;22;QUEBRACHO ESQUINA
86133020;22;PUESTO NUEVO
86133019;22;POZO BETBEDER
86133018;22;NUEVO SIMBOLAR
86133013;22;ESTACION LA ALOJA
86133010;22;EL OJITO
86133008;22;EL CAMBIADO
86133003;22;BABILONIA
86133002;22;ALGARROBAL VIEJO
86133001;22;AHI VEREMOS
86126053;22;MINGUECHO
86126051;22;TOTORILLA
86126050;22;TALA YACU
86126049;22;RUMI POZO
86126048;22;PUERTA DE LOS RIOS
86126046;22;POZO DEL GARABATO
86126044;22;ONCAN
86126042;22;LAS MANGAS
86126037;22;LA CHIRQUITA
86126036;22;KILOMETRO 96
86126035;22;KILOMETRO 88
86126033;22;KILOMETRO 49
86126032;22;INTI HUASI
86126031;22;EL JUME
86126028;22;EL CARDONAL
86126026;22;EL ARBOL
86126024;22;CRUZ DEL NORTE
86126022;22;BALBUENA
86126021;22;AMOLADERAS
86126020;22;AMBARGASTA
86126019;22;VILLA OJO DE AGUA
86126017;22;SOL DE JULIO
86126011;22;LOMITAS BLANCAS
86126003;22;CAJON/EL CAJON
86126002;22;BAEZ
86126001;22;AMIMAN
86119082;22;VILLA PETOCHA
86119081;22;TINAJERAYOJ
86119080;22;TIERRA DEL ESTE
86119079;22;TABIANITA
86119077;22;SANTO DOMINGO DEL CISNEROS
86119067;22;PAMPA CHARQUINA
86119066;22;OTUMPA
86119065;22;OTTAVIA
86119064;22;OBRAJE MARIA ANGELICA
86119063;22;MUYUSKA
86119060;22;LOTE L 3
86119058;22;LOTE 115
86119057;22;LEDESMA
86119056;22;LAS DOS A
86119054;22;LA NOMBRADA
86119053;22;LA MAGDALENA
86119051;22;LA ELSITA
86119050;22;GIRARDET
86119046;22;EL FISCO
86119042;22;CATAMARCA
86119041;22;ARBOL BLANCO
86119040;22;AMAMA
86119038;22;WEISBURD
